,id_estudiante,propuesta,estado_inscripcion,fecha_ingreso,fecha_inscripcion,ingreso_aprobadas,ingreso_libres,ingreso_totales,cursadas_aprobadas,cursadas_regulares,cursadas_libres,cursadas_totales,inscripciones_examenes,examenes_aprobados,anio_ingreso,fecha_ultimo_examen,anio_ultima_reinscripcion,promedio_sin_aplazos,promedio_con_aplazos,actividades_aprobadas,total_actividades,regular,calidad,segundo_anio
0,CB-015876-0,134,Pendiente,01/04/2020,04/12/2019,2,0,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,6.4,6.4,5,40,S,A,S
1,CA-016187-5,130,Pendiente,01/04/2020,09/12/2019,2,0,2,0,0,0,3,0,0,2020,14/12/2020,2021.0,6.5,6.5,2,42,S,A,N
2,CA-016558-7,130,Pendiente,01/04/2020,10/02/2020,2,0,2,0,0,0,3,0,0,2020,,2021.0,8.17,8.17,6,42,S,A,S
3,CA-016164-6,130,Pendiente,01/04/2020,02/12/2019,0,2,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,5.5,7.44,11,42,S,A,S
4,CA-016551-0,130,Aceptado,01/04/2020,10/02/2020,1,1,2,0,0,3,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
5,CA-016538-2,130,Aceptado,01/04/2020,05/02/2020,1,1,2,0,0,3,3,0,0,2020,,2021.0,6.0,6.0,2,42,S,A,N
6,CA-016224-3,130,Pendiente,01/04/2020,16/12/2019,1,1,2,0,0,0,3,0,0,2020,,2021.0,7.0,7.0,3,42,S,A,N
7,CA-016150-6,130,Aceptado,01/04/2020,21/11/2019,1,1,2,1,0,2,3,0,0,2020,,,6.0,6.0,1,42,N,P,N
8,CA-016566-8,130,Aceptado,01/04/2020,12/02/2020,1,1,2,0,1,2,3,0,0,2020,14/12/2020,2021.0,6.33,8.5,2,42,S,A,N
9,CA-016226-0,130,Pendiente,01/04/2020,16/12/2019,2,0,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
